Benchmark,Width,Partitions,Error_1_norm,Error_2_norm,Error_inf_norm,Error,Result,Est_Mean_se,Est_Max_se,Seed,Method,Time
Jet Engine,[10],5,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,0.00017,0.00308,0,IFNA,407.31297
exponential,[10],5,0.42188,0.29831,0.21094,"[0.210938, 0.210938]",S,0.00145,0.03068,0,IFNA,370.94326
Steam,[10],55,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00031,0.01036,0,IFNA,504.65483
Jet Engine,"[10, 10]",7,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00044,0.00901,0,IFNA,328.22981
Jet Engine,"[15, 15]",94,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,3e-05,0.00105,0,IFNA,526.77319
exponential,[20],31,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00025,0.00944,0,IFNA,330.16352
Steam,[20],220,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00048,0.00935,0,IFNA,474.44099
exponential,"[20, 20]",60,0.17798,0.12585,0.08899,"[0.088989, 0.088989]",S,0.00026,0.005,0,IFNA,399.27233
Jet Engine,[10],11,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00044,0.0098,1,IFNA,314.98599
exponential,[10],6,inf,inf,inf,inf,F,0.00501,0.50238,1,IFNA,300.00702
Steam,[10],24,0.63281,0.36536,0.21094,"[0.210938, 0.210938, 0.210938]",S,0.00139,0.03108,1,IFNA,348.11179
Jet Engine,"[10, 10]",28,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,0.0001,0.00177,1,IFNA,372.66072
Jet Engine,"[15, 15]",17,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,4e-05,0.00125,1,IFNA,588.00599
exponential,[20],21,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00021,0.01782,1,IFNA,359.8175
Steam,[20],279,0.26697,0.15413,0.08899,"[0.088989, 0.088989, 0.088989]",S,0.00018,0.00594,1,IFNA,1578.35377
exponential,"[20, 20]",55,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00018,0.02148,1,IFNA,628.59332
Jet Engine,[10],9,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,0.0001,0.0017,2,IFNA,341.0994
exponential,[10],7,inf,inf,inf,inf,F,0.00452,0.46506,2,IFNA,300.00676
Steam,[10],15,0.63281,0.36536,0.21094,"[0.210938, 0.210938, 0.210938]",S,0.001,0.03239,2,IFNA,328.52761
Jet Engine,"[10, 10]",36,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,0.00013,0.00389,2,IFNA,416.35935
Jet Engine,"[15, 15]",30,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,0.00025,0.0018,2,IFNA,423.75381
exponential,[20],13,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00027,0.01651,2,IFNA,410.08539
Steam,[20],108,0.26697,0.15413,0.08899,"[0.088989, 0.088989, 0.088989]",S,0.00016,0.00517,2,IFNA,782.94736
exponential,"[20, 20]",62,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,3e-05,0.00139,2,IFNA,2089.98277
Jet Engine,[10],15,0.17798,0.12585,0.08899,"[0.088989, 0.088989]",S,0.00017,0.00537,3,IFNA,355.8711
exponential,[10],26,inf,inf,inf,inf,F,0.00609,0.48753,3,IFNA,300.00654
Steam,[10],57,0.63281,0.36536,0.21094,"[0.210938, 0.210938, 0.210938]",S,0.00134,0.02543,3,IFNA,336.72608
Jet Engine,"[10, 10]",93,0.05631,0.03982,0.02816,"[0.028157, 0.028157]",S,3e-05,0.00054,3,IFNA,445.36795
Jet Engine,"[15, 15]",162,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,4e-05,0.00115,3,IFNA,496.27843
exponential,[20],40,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00037,0.01929,3,IFNA,419.77275
Steam,[20],242,0.26697,0.15413,0.08899,"[0.088989, 0.088989, 0.088989]",S,0.00018,0.00551,3,IFNA,1330.99542
exponential,"[20, 20]",95,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,9e-05,0.01915,3,IFNA,626.13306
Jet Engine,[10],10,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00056,0.01935,4,IFNA,323.0102
exponential,[10],14,0.5625,0.39775,0.28125,"[0.28125, 0.28125]",S,0.0015,0.05075,4,IFNA,331.89039
Steam,[10],27,0.47461,0.27402,0.1582,"[0.158203, 0.158203, 0.158203]",S,0.00033,0.01553,4,IFNA,372.66209
Jet Engine,"[10, 10]",9,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,9e-05,0.00138,4,IFNA,529.26743
Jet Engine,"[15, 15]",36,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,5e-05,0.00111,4,IFNA,508.81572
exponential,[20],15,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00023,0.01061,4,IFNA,535.25077
Steam,[20],201,0.47461,0.27402,0.1582,"[0.158203, 0.158203, 0.158203]",S,0.00041,0.01445,4,IFNA,425.5849
exponential,"[20, 20]",47,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00028,0.00869,4,IFNA,401.38034
Jet Engine,[10],7,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,9e-05,0.00163,5,IFNA,336.05451
exponential,[10],9,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00041,0.01678,5,IFNA,358.40625
Steam,[10],21,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00031,0.01043,5,IFNA,398.86578
Jet Engine,"[10, 10]",40,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,7e-05,0.00173,5,IFNA,468.62005
Jet Engine,"[15, 15]",56,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,8e-05,0.00177,5,IFNA,413.89539
exponential,[20],31,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00029,0.01101,5,IFNA,512.19308
Steam,[20],289,0.26697,0.15413,0.08899,"[0.088989, 0.088989, 0.088989]",S,0.00015,0.00508,5,IFNA,675.99605
exponential,"[20, 20]",54,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00017,0.02211,5,IFNA,709.78492
Jet Engine,[10],6,0.2373,0.1678,0.11865,"[0.118652, 0.118652]",S,0.00035,0.01036,6,IFNA,550.05481
exponential,[10],18,inf,inf,inf,inf,F,0.00497,0.42207,6,IFNA,300.00783
Steam,[10],17,0.47461,0.27402,0.1582,"[0.158203, 0.158203, 0.158203]",S,0.00036,0.01709,6,IFNA,389.95778
Jet Engine,"[10, 10]",9,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,6e-05,0.00135,6,IFNA,498.43542
Jet Engine,"[15, 15]",57,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,4e-05,0.00111,6,IFNA,727.61539
exponential,[20],71,0.17798,0.12585,0.08899,"[0.088989, 0.088989]",S,0.00017,0.00505,6,IFNA,385.79163
Steam,[20],162,0.26697,0.15413,0.08899,"[0.088989, 0.088989, 0.088989]",S,0.00016,0.00526,6,IFNA,739.92148
exponential,"[20, 20]",59,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,7e-05,0.00326,6,IFNA,537.37269
Jet Engine,[10],6,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,9e-05,0.00163,7,IFNA,321.14397
exponential,[10],8,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00114,0.01628,7,IFNA,362.35486
Steam,[10],21,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00029,0.00975,7,IFNA,441.19328
Jet Engine,"[10, 10]",16,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,9e-05,0.00202,7,IFNA,490.32475
Jet Engine,"[15, 15]",34,0.10011,0.07079,0.05006,"[0.050056, 0.050056]",S,9e-05,0.0017,7,IFNA,479.59917
exponential,[20],27,inf,inf,inf,inf,F,0.00438,0.50277,7,IFNA,300.00934
Steam,[20],212,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00028,0.01094,7,IFNA,414.91346
exponential,"[20, 20]",80,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00023,0.024,7,IFNA,469.28253
Jet Engine,[10],9,0.05631,0.03982,0.02816,"[0.028157, 0.028157]",S,4e-05,0.00072,8,IFNA,385.7926
exponential,[10],8,0.42188,0.29831,0.21094,"[0.210938, 0.210938]",S,0.00168,0.02846,8,IFNA,434.11012
Steam,[10],18,0.47461,0.27402,0.1582,"[0.158203, 0.158203, 0.158203]",S,0.00037,0.01644,8,IFNA,391.32049
Jet Engine,"[10, 10]",30,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,5e-05,0.00118,8,IFNA,416.16893
Jet Engine,"[15, 15]",116,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,4e-05,0.0012,8,IFNA,765.85007
exponential,[20],20,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00031,0.01701,8,IFNA,451.31094
Steam,[20],523,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00025,0.00951,8,IFNA,507.06701
exponential,"[20, 20]",139,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,6e-05,0.00358,8,IFNA,704.20546
Jet Engine,[10],8,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,0.00012,0.00347,9,IFNA,453.59698
exponential,[10],6,inf,inf,inf,inf,F,0.00586,0.62431,9,IFNA,300.00831
Steam,[10],16,0.35596,0.20551,0.11865,"[0.118652, 0.118652, 0.118652]",S,0.00039,0.00884,9,IFNA,402.62151
Jet Engine,"[10, 10]",5,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,0.00021,0.00342,9,IFNA,359.95271
Jet Engine,"[15, 15]",10,0.07508,0.05309,0.03754,"[0.037542, 0.037542]",S,6e-05,0.00132,9,IFNA,621.961
exponential,[20],25,0.31641,0.22373,0.1582,"[0.158203, 0.158203]",S,0.00036,0.01698,9,IFNA,403.10899
Steam,[20],127,0.26697,0.15413,0.08899,"[0.088989, 0.088989, 0.088989]",S,0.00019,0.0049,9,IFNA,711.64664
exponential,"[20, 20]",97,0.13348,0.09439,0.06674,"[0.066742, 0.066742]",S,8e-05,0.00322,9,IFNA,976.21953
